Date,GDP,M2V,QBPBSTLKTEQKTBKEQKCOMSTK,LRAC64TTUSQ156S
2018-01-01,20328.553,1.46,42843.435,73.52248
2018-04-01,20580.912,1.465,42795.56,73.56855
2018-07-01,20798.73,1.466,42918.272,73.53721999999999
2018-10-01,20917.867,1.463,42597.093,73.82066
2019-01-01,21111.6,1.458,42479.618,73.93885999999999
2019-04-01,21397.938,1.46,42619.505,73.8745
2019-07-01,21717.171,1.454,42610.747,74.19981
2019-10-01,21933.217,1.437,42338.736,74.39263000000001
2020-01-01,21727.657,1.39,42229.788,74.26559
2020-04-01,19935.444,1.128,41520.754,71.94055999999999
2020-07-01,21684.551,1.177,41346.472,72.73315
2020-10-01,22068.767,1.164,41318.523,73.00633
2021-01-01,22656.793,1.156,41298.685,72.94699
2021-04-01,23368.861,1.148,41154.394,73.28313
2021-07-01,23921.991,1.15,41107.041,73.52232
2021-10-01,24777.038,1.163,41444.11,73.71464
2022-01-01,25215.491,1.164,41578.008,73.84567
2022-04-01,25805.791,1.19,41667.722,73.9675
2022-07-01,26272.011,1.217,41545.666,74.06658
2022-10-01,26734.277,1.253,41577.89,74.094
2023-01-01,27164.359,1.288,41631.863,74.47649
2023-04-01,27453.815,1.322,41086.461,74.6345
2023-07-01,27967.697,1.348,41167.157,74.83145999999999
2023-10-01,28296.967,1.367,41175.916,74.85709
2024-01-01,28624.069,1.373,41159.257,74.85041
2024-04-01,29016.714,1.382,41176.436,74.90784000000001
2024-07-01,29374.914,1.387,41308.636,74.97966
2024-10-01,29723.864,1.389,41723.99,74.94535
2025-01-01,29962.047,1.386,41723.99,75.01937
